Name,Season,Ranking,Driving Distance,Driving Accuracy,Club Head Speed,Ball Speed,Spin Rate,Eligible
Ryan Palmer,2018,63,306.7,58.94,116.76,173.78,2355.6,-1.0
Peter Uihlein,2018,64,302.0,53.35,122.38,180.9,2944.9,-1.0
"Ted Potter, Jr.",2018,65,287.6,66.38,113.34,165.52,3169.6,-1.0
Chris Kirk,2018,66,291.3,64.23,112.08,165.87,2572.2,-1.0
Keith Mitchell,2018,67,313.7,58.09,124.99,181.59,2810.0,-1.0
Scott Piercy,2018,68,297.0,64.35,112.21,167.97,2643.9,-1.0
Louis Oosthuizen,2018,69,302.2,63.95,114.53,171.55,2764.5,-1.0
Daniel Berger,2018,70,298.7,64.61,115.29,170.42,2606.3,-1.0
Ryan Moore,2018,71,289.6,71.88,109.33,162.76,2468.5,-1.0
Whee Kim,2018,72,286.3,60.71,109.74,163.93,2471.8,-1.0
Stewart Cink,2018,73,298.7,58.16,115.55,171.31,2727.7,-1.0
Nick Watney,2018,74,308.3,55.91,118.52,178.56,2686.8,-1.0
Jimmy Walker,2018,75,299.4,52.75,115.96,174.44,2386.8,-1.0
Matt Kuchar,2018,76,290.0,63.56,108.14,162.64,2374.2,-1.0
Kevin Streelman,2018,77,295.8,69.28,114.5,169.2,2500.0,-1.0
Bronson Burgoon,2018,78,304.2,64.68,113.5,170.53,2390.5,-1.0
Charley Hoffman,2018,79,300.0,57.28,115.94,172.38,2877.1,-1.0
Joel Dahmen,2018,80,296.3,65.84,112.88,168.1,2707.8,-1.0
Michael Kim,2018,81,290.2,54.75,110.76,164.56,2646.4,-1.0
J.B. Holmes,2018,82,306.4,57.02,120.97,178.13,2605.8,-1.0
Kevin Chappell,2018,83,309.2,61.0,119.29,176.92,2605.0,-1.0
James Hahn,2018,84,298.8,63.12,114.52,168.12,2348.2,-1.0
Jamie Lovemark,2018,85,303.5,57.8,116.17,172.03,2508.8,-1.0
Brian Stuard,2018,86,279.4,70.72,105.85,158.74,2650.5,-1.0
Kevin Tway,2018,87,311.2,52.53,122.02,181.25,3065.0,-1.0
Branden Grace,2018,88,299.4,63.41,115.02,173.42,2697.2,-1.0
Russell Knox,2018,89,292.0,67.52,111.37,165.99,2904.7,-1.0
Kelly Kraft,2018,90,289.3,65.5,108.73,163.29,2724.4,-1.0
Troy Merritt,2018,91,295.7,62.95,112.02,166.86,2837.9,-1.0
Tom Hoge,2018,92,291.5,62.14,111.75,165.9,2698.8,-1.0
Scott Stallings,2018,93,299.7,56.61,115.73,173.4,2485.5,-1.0
Satoshi Kodaira,2018,94,294.8,64.68,111.09,165.4,2483.4,-1.0
Jhonattan Vegas,2018,95,303.7,57.62,121.87,181.34,3065.6,-1.0
Russell Henley,2018,96,293.7,70.32,112.35,167.89,2731.6,-1.0
Danny Lee,2018,97,290.4,62.84,110.44,165.15,2650.0,-1.0
Ollie Schniederjans,2018,98,301.8,52.59,119.4,177.47,2780.2,-1.0
Anirban Lahiri,2018,99,294.8,59.76,112.0,167.54,2571.2,-1.0
